data_shopid,shop_name,recommend_dishes,shop_link,star_score,score_text,price,region,category,desc_addr_txt,reviews,address,biz_time,updated_at
k1oTzSbnSQT8WiLM, 小街猪手(团结湖店), 云南蘸水小料、 酸汤猪手火锅、 猪手鸳鸯锅, https://www.dianping.com/shop/k1oTzSbnSQT8WiLM, 4.8, "口味:4.8 环境:4.7 服务:4.7 食材:4.8", ¥128/人, 朝阳公园/团结湖, 云南火锅, 距地铁10号线团结湖地铁站C东南口460m, 13037, 团结湖路9号楼南侧胡同内, 11:30-21:30, 2025-11-13T13:44:17+08:00
l9Nzy2XV9xG4ZcAb, 四季民福烤鸭店(望京旺角店), 酥香嫩烤鸭、 贝勒烤肉、 蜜汁酥皮虾, https://www.dianping.com/shop/l9Nzy2XV9xG4ZcAb, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥163/人, 望京, 烤鸭, 距地铁14号线望京站H西南口步行940m, 23337, 湖光北街南湖中园211号京客隆4层, 10:30-21:30, 2025-11-13T13:44:31+08:00
ka9I5NY2kaCzRu0I, 华盛丰温州大排档(东三环南路店), 温州米粉、 蛏子、 葱油泥螺, https://www.dianping.com/shop/ka9I5NY2kaCzRu0I, 4.3, "口味:4.4 环境:4.1 服务:4.0", ¥131/人, 劲松/潘家园, 温州菜, 距地铁10号线潘家园站A西北口步行390m, 9765, 东三环南路13号-3号乐游饭店1层, 10:30-14:00、 16:30-21:00, 2025-11-13T13:44:48+08:00
FgiEMOYJ7kJYn7cs, 蘇飯, 赛螃蟹、 红烧肉、 自制坚果酸奶, https://www.dianping.com/shop/FgiEMOYJ7kJYn7cs, 4.3, "口味:4.3 环境:4.0 服务:4.2", ¥100/人, 三里屯/工体, 私房菜, 距地铁工人体育场站D口步行590m, 4469, 三里屯路33号33大厦B1层B1026, 11:30-15:30、 17:30-21:30, 2025-11-13T13:45:04+08:00
Gal9XcTwxoOi24CH, 第六季自助餐厅(王府井店), 鲜活鲍鱼、 海南空运水果、 香煎三文鱼, https://www.dianping.com/shop/Gal9XcTwxoOi24CH, 4.2, "口味:4.2 环境:4.4 服务:4.5 品种:4.6", ¥349/人, 王府井/东单, 海鲜自助, 距地铁8号线金鱼胡同站C西南口步行360m, 49127, 东安门大街55号王府世纪一层105-106号（王府世纪西北侧）, 11:00-14:00、 17:00-21:00, 2025-11-13T13:45:22+08:00
G5IwJkv46Ie2NW0P, Ponte 意大利餐厅, 牛油果凤尾鲜虾沙拉、 澳洲精选肉眼牛排、 餐前面包, https://www.dianping.com/shop/G5IwJkv46Ie2NW0P, 4.9, "口味:4.9 环境:4.9 服务:4.9", ¥240/人, 酒仙桥, 意大利菜, 距地铁将台西站C口步行890m, 8263, 东四环北路6号滨河花园一区15号楼1层1-06号（上东商业广场内）, 07:30-22:00, 2025-11-13T13:45:38+08:00
G10nxguoBmGWjS25, 自如ZSPACE·四合院艺术餐厅, 风干清远鸡、 炝拌沙葱螺片、 烤银鳕鱼.XO酱野米饭, https://www.dianping.com/shop/G10nxguoBmGWjS25, 4.7, "口味:4.7 环境:4.8 服务:4.7", ¥258/人, 东四, 创意菜, 距地铁5号线张自忠路站A西北口步行570m, 9127, 协作胡同40号, 11:30-22:00, 2025-11-13T13:45:57+08:00
l6Aa6D3RWPJtjwn0, 滇大池云南菜·蒸汽石锅鱼(望京诚盈店), 江川铜锅洋芋饭、 蒸汽石锅鱼、 石锅湖团鱼/斤, https://www.dianping.com/shop/l6Aa6D3RWPJtjwn0, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥136/人, 望京, 云南菜|滇菜, 距地铁14号线来广营站出入口步行70m, 17661, 来广营西路望京诚盈中心4号楼2楼201室, 11:00-21:30, 2025-11-13T13:46:16+08:00
kaLBsW9Swbaa08Zx, 提督·TIDU(北京坊店), 五味三吃鱼子酱烤鸭、 樱桃清酒鹅肝、 提督糖油饼, https://www.dianping.com/shop/kaLBsW9Swbaa08Zx, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥180/人, 前门/大栅栏, 烤鸭, 距地铁2号线前门站C西南口步行600m, 15947, 廊房头条21号院W9楼4层01号（B3层乘W7号楼直梯至三层、出电梯直走至W9号楼电梯至4层）, 11:00-14:00、 17:00-21:00, 2025-11-13T13:46:33+08:00
l3UKOg66ioLMpDOy, BRBR叙利亚餐厅(总店), 扁豆汤、 BRBR综合烧烤小份、 Shawarma 盘餐, https://www.dianping.com/shop/l3UKOg66ioLMpDOy, 4.5, "口味:4.5 环境:4.6 服务:4.6", ¥125/人, 五道口, 西餐, 距地铁13号线五道口站B南口步行570m, 15820, 东升南路东升园12号楼配套楼底商, 11:30-22:00, 2025-11-13T13:46:50+08:00
G7WHSOdA9pBD4h79, oh! by FINE cafe&canteen, 杂莓舒芙蕾配马斯卡彭奶油、 抹茶舒芙蕾、 烟熏三文鱼班尼迪克蛋可颂全餐, https://www.dianping.com/shop/G7WHSOdA9pBD4h79, 4.2, "口味:4.2 环境:4.4 服务:4.3", ¥83/人, 地安门, 西餐, 距地铁8号线什刹海站A2西北口步行240m, 14878, 地安门外大街16号, 11:00-19:00, 2025-11-13T13:47:07+08:00
j5Y0G0TEeFQz20i9, 四季民福烤鸭店(和平里店), 酥香嫩烤鸭、 贝勒烤肉、 蜜汁酥皮虾, https://www.dianping.com/shop/j5Y0G0TEeFQz20i9, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥159/人, 和平里/国展中心, 烤鸭, 距地铁5号线和平里北街站A2西北口步行370m, 34206, 青年沟路北京商报社1-2层, 10:30-21:30, 2025-11-13T13:47:25+08:00
l32XAVAxCHClpUWK, Tavola Italian Dining, 黑松露披萨、 火焰提拉米苏、 意大利扁面波士顿龙虾, https://www.dianping.com/shop/l32XAVAxCHClpUWK, 4.7, "口味:4.7 环境:4.8 服务:4.7", ¥471/人, 亮马桥/三元桥, 意大利菜, 距地铁10号线亮马桥站B东北口步行290m, 5789, 东方东路19号亮马桥外交公寓官舍北区二层, 11:30-14:30、 17:30-22:00, 2025-11-13T13:47:41+08:00
l59EXqVvzWTanyZi, 晟永興烤鸭店(三里屯店), 松露焗大虾球、 枣酥香烤鸭1只、 芥末鸭掌, https://www.dianping.com/shop/l59EXqVvzWTanyZi, 4.9, "口味:4.9 环境:4.9 服务:4.9", ¥428/人, 三里屯/工体, 烤鸭, 距地铁工人体育场站C口步行680m, 8735, 新东路甲5号, 11:00-14:30、 17:00-21:00, 2025-11-13T13:47:57+08:00
G6wTsz3JJoio4vy6, 沃野Oii(青年湖店), 时蔬散饭、 法式白酱野菇饭、 雪耳团子, https://www.dianping.com/shop/G6wTsz3JJoio4vy6, 4.8, "口味:4.8 环境:4.8 服务:4.7", ¥116/人, 安定门, 素食, 距地铁8号线安德里北街站D西南口步行770m, 5721, 和平里街道安德里北街恒通伟业大厦B座一层, 11:00-20:00, 2025-11-13T13:48:13+08:00
HaLpW5Gz2VP7YZ3M, 萃華楼(新世界旗舰店), 酱爆桃仁鸡丁、 芙蓉鸡片、 萃华烤花卷, https://www.dianping.com/shop/HaLpW5Gz2VP7YZ3M, 4.7, "口味:4.8 环境:4.8 服务:4.8", ¥130/人, 崇文门, 烤鸭, 距地铁5号线崇文门站H西南口步行110m, 19136, 崇文门外大街3号新世界一期北端二层, 10:00-21:30, 2025-11-13T13:48:30+08:00
jRhe0qbG7MJVeU6M, 慢走(亮马桥店), 特制和风鳗鱼饭、 “慢走卷”、 半熟蛋配海胆酱, https://www.dianping.com/shop/jRhe0qbG7MJVeU6M, 4.8, "口味:4.8 环境:4.8 服务:4.8 食材:4.8", ¥205/人, 亮马桥/三元桥, 日本料理, 距地铁10号线亮马桥站B东北口步行1.0km, 4902, 亮马桥路40号21世纪饭店1层东北角, 11:30-14:00、 18:00-22:00, 2025-11-13T13:48:49+08:00
l2jufldEfXTgMTjW, 白家大院(苏州街店), 宫廷小吃四样拼、 妃子笑、 宫爆大虾, https://www.dianping.com/shop/l2jufldEfXTgMTjW, 4.7, "口味:4.6 环境:4.8 服务:4.8", ¥510/人, 中关村, 官府菜, 距乐家花园旧址100m, 11531, 苏州街29号, 10:30-22:30, 2025-11-13T13:49:06+08:00
kapYpdB5tRRxlkRK, CAPARESH開府莱舍(望京金辉店), 罗斯虾意大利面、 番茄贝斯托意大利面、 提拉米苏, https://www.dianping.com/shop/kapYpdB5tRRxlkRK, 4.8, "口味:4.8 环境:4.7 服务:4.8", ¥153/人, 望京, 意大利菜, 距地铁15号线望京东地铁站B口(东北口)30m, 12477, 崔各庄地区启阳路金辉大厦B1层01室（近望京东地铁B出口）, 11:00-21:00, 2025-11-13T13:49:22+08:00
k5RVCJXuMeDC8PRD, 懒人盐府人家(航天桥店), 自贡大麻鱼、 张家沱香辣蹄、 马蹄甘蔗水, https://www.dianping.com/shop/k5RVCJXuMeDC8PRD, 4.7, "口味:4.7 环境:4.8 服务:4.7", ¥90/人, 航天桥, 川菜馆, 距地铁花园桥站D2西南口步行660m, 9028, 西三环北路88号2层, 10:30-14:30、 17:00-21:30, 2025-11-13T13:49:38+08:00
H2uI080TdoN0wTEt, 疆来·新疆菜·创始店, 新疆大盘鸡、 疆来酸奶、 烤包子, https://www.dianping.com/shop/H2uI080TdoN0wTEt, 4.4, "口味:4.4 环境:4.3 服务:4.4", ¥84/人, 亚运村, 新疆菜, 距地铁15号线安立路站A2西北口步行360m, 11891, 安立路慧忠北里105号楼A段1层124号, 11:00-14:00、 17:00-22:30, 2025-11-13T13:49:54+08:00
l7py5Ipu57dhNzCk, 四季民福烤鸭店(双井店), 四季民福烤鸭、 贝勒烤肉、 巧拌豆苗, https://www.dianping.com/shop/l7py5Ipu57dhNzCk, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥166/人, 双井, 烤鸭, 距地铁7/10号线双井地铁站H西南口20m, 24426, 南八棵杨甲1号(北京歌剧舞剧院南), 10:30-21:30, 2025-11-13T13:50:10+08:00
