2025-09-30 10:58:07,511 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:08,801 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:10,679 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:10,702 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:58:12,230 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:14,124 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:15,507 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:17,330 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:18,952 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:18,972 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:58:20,688 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:21,984 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:23,852 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:25,563 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:27,413 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:27,438 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:58:29,014 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:30,769 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:32,127 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:33,683 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:34,926 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:34,960 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:58:36,242 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:36,266 - INFO - 新增登记证号：EX20250033
2025-09-30 10:58:38,127 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:39,939 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:41,490 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:43,136 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:43,159 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:58:44,778 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:46,311 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:47,984 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:49,641 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:51,615 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:51,638 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:58:53,304 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:55,277 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:57,188 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:58,843 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:00,729 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:00,750 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:59:02,145 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:03,744 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:05,495 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:07,420 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:09,009 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:09,033 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:59:10,534 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:11,931 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:13,677 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:15,443 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:17,382 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:17,405 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:59:19,054 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:20,516 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:22,594 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:23,991 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:25,499 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:25,525 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:59:27,036 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:28,868 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:30,807 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:32,695 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:34,322 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:34,346 - INFO - 📊 当前已同步数据总数: 51254
2025-09-30 10:59:35,749 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:35,773 - INFO - 新增登记证号：EX20250035
2025-09-30 10:59:37,539 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:39,377 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:41,015 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:42,606 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:42,628 - INFO - 📊 当前已同步数据总数: 51255
2025-09-30 10:59:44,172 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:45,580 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:46,936 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:48,356 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:50,240 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:50,263 - INFO - 📊 当前已同步数据总数: 51255
2025-09-30 10:59:51,772 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:53,093 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:54,663 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:56,071 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:57,423 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:59:57,447 - INFO - 📊 当前已同步数据总数: 51255
2025-09-30 10:59:59,255 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:00,671 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:02,089 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:04,054 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:05,497 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:05,520 - INFO - 📊 当前已同步数据总数: 51255
2025-09-30 11:00:06,871 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:08,383 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:10,228 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:11,813 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:13,316 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:13,340 - INFO - 📊 当前已同步数据总数: 51255
2025-09-30 11:00:15,030 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:16,368 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:18,217 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:20,155 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:20,178 - INFO - 新增登记证号：EX20250034
2025-09-30 11:00:21,978 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:22,002 - INFO - 📊 当前已同步数据总数: 51256
2025-09-30 11:00:23,738 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:25,165 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:26,931 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:28,380 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:30,055 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:30,076 - INFO - 📊 当前已同步数据总数: 51256
2025-09-30 11:00:31,680 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:33,319 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:35,108 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:37,016 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:38,451 - INFO - 📊 总页数：2562, 总记录数：51225
